,Wins,Prop,True,Unrelated,degree3,Degree2,Parent-Child,Siblings,Identical
0,1,0.011885995726890959,0.5,1.0,0.75,0.75,0.75,0.5,0.5
1,2,0.007555115506334735,0.5,1.0,0.75,0.75,0.75,0.5,0.5
2,3,0.013337415238382954,0.5,1.0,0.75,0.75,0.75,0.5,0.5
3,4,0.009882251404247562,0.5,1.0,0.75,0.75,0.75,0.5,0.5
4,5,0.010386571997838092,0.5,1.0,0.75,0.75,0.75,0.5,0.5
5,6,0.010851662127417038,0.5,1.0,0.75,0.75,0.75,0.5,0.5
6,7,0.014563046068365603,0.5,1.0,0.75,0.75,0.75,0.75,0.5
7,8,0.015468330805171272,0.75,1.0,0.75,0.75,0.75,0.75,0.5
8,9,0.015628102002436257,0.75,1.0,0.75,0.75,0.75,0.75,0.5
9,10,0.017139505900830725,0.75,1.0,0.75,0.75,0.75,0.75,0.5
10,11,0.017149425709597627,0.75,1.0,0.75,0.75,0.75,0.75,0.5
11,12,0.017067167292523996,0.75,1.0,0.75,0.75,0.75,0.75,0.5
12,13,0.013354070714528864,0.75,1.0,0.75,0.75,0.75,0.75,0.5
13,14,0.013563719779710888,0.5,1.0,0.75,0.75,0.75,0.75,0.5
14,15,0.012052953129949938,0.5,1.0,0.75,0.75,0.75,0.5,0.5
15,16,0.011382194661701964,0.5,1.0,0.75,0.75,0.75,0.5,0.5
16,17,0.017742292671035897,0.75,1.0,0.75,0.75,0.75,0.75,0.5
17,18,0.017597834611998493,0.75,1.0,0.75,0.75,0.75,0.75,0.5
18,19,0.018145038928374994,0.75,1.0,0.75,0.75,0.75,0.75,0.5
19,20,0.01402582763625049,0.75,1.0,0.75,0.75,0.75,0.75,0.5
20,21,0.014815573382367903,0.75,1.0,0.75,0.75,0.75,0.75,0.5
21,22,0.015411484040368866,0.75,1.0,0.75,0.75,0.75,0.75,0.5
22,23,0.015540974700661873,0.75,1.0,0.75,0.75,0.75,0.75,0.5
23,24,0.011479757502655782,0.5,1.0,0.75,0.75,0.75,0.5,0.5
24,25,0.010865476370933392,0.5,1.0,0.75,0.75,0.75,0.5,0.5
25,26,0.010423138461637007,0.5,1.0,0.75,0.75,0.75,0.5,0.5
26,27,0.010654983620015442,0.5,1.0,0.75,0.75,0.75,0.5,0.5
27,28,0.010369613437012645,0.5,1.0,0.75,0.75,0.75,0.5,0.5
28,29,0.013936133952381788,0.5,1.0,0.75,0.75,0.75,0.5,0.5
29,30,0.012450964869325714,0.5,1.0,0.75,0.75,0.75,0.5,0.5
30,31,0.0123980741172245,0.5,1.0,0.75,0.75,0.75,0.5,0.5
31,32,0.015739736473839885,0.75,1.0,0.75,0.75,0.75,0.75,0.5
32,33,0.017565562413447484,0.75,1.0,0.75,0.75,0.75,0.75,0.5
33,34,0.01583864451427954,0.75,1.0,0.75,0.75,0.75,0.75,0.5
34,35,0.01662822374855889,0.75,1.0,0.75,0.75,0.75,0.75,0.5
35,36,0.014983584344521251,0.5,1.0,0.75,0.75,0.75,0.75,0.5
36,37,0.018653501552568418,0.75,1.0,1.0,0.75,0.75,1.0,0.5
37,38,0.01798454963581221,1.0,1.0,1.0,0.75,0.75,1.0,0.5
38,39,0.019563920784442856,1.0,1.0,1.0,0.75,0.75,1.0,0.5
39,40,0.017643025311690586,1.0,1.0,0.75,0.75,0.75,0.75,0.5
40,41,0.013708213538713236,0.75,1.0,0.75,0.75,0.75,0.75,0.5
41,42,0.01561062446907562,0.75,1.0,0.75,0.75,0.75,0.75,0.5
42,43,0.018424703006798823,0.75,1.0,0.75,0.75,0.75,0.75,0.5
43,44,0.01358682232495771,0.75,1.0,0.75,0.75,0.75,0.75,0.5
44,45,0.010411933710908528,0.5,1.0,0.75,0.75,0.75,0.5,0.5
45,46,0.014292523795582256,0.75,1.0,0.75,0.75,0.75,0.75,0.5
46,47,0.013177711792254436,0.75,1.0,0.75,0.75,0.75,0.75,0.5
47,48,0.024786854704358287,1.0,1.0,1.0,1.0,0.75,1.0,0.5
48,49,0.02304292437646667,1.0,1.0,1.0,1.0,0.75,1.0,0.5
49,50,0.020400053703551347,1.0,1.0,1.0,1.0,0.75,1.0,0.5
50,51,0.018585144714963503,0.75,1.0,1.0,1.0,0.75,1.0,0.5
51,52,0.017226397163803482,0.75,1.0,1.0,1.0,0.75,1.0,0.5
52,53,0.022014263846437322,1.0,1.0,1.0,1.0,0.75,1.0,0.5
53,54,0.022372579791680655,1.0,1.0,1.0,1.0,0.75,1.0,0.5
54,55,0.02135733807689049,1.0,1.0,1.0,1.0,0.75,1.0,0.5
55,56,0.017170258575699912,1.0,1.0,1.0,1.0,0.75,1.0,0.5
