pair,rel,run,accuracy,cov
0_1,un,1,1.0,4.0
0_1,un,1,1.0,0.5
0_1,un,1,1.0,0.2
0_1,un,1,1.0,0.1
0_1,un,1,1.0,0.05
0_1,un,1,1.0,0.03
0_1,un,2,1.0,4.0
0_1,un,2,1.0,0.5
0_1,un,2,1.0,0.2
0_1,un,2,1.0,0.1
0_1,un,2,1.0,0.05
0_1,un,2,1.0,0.03
0_1,un,3,1.0,4.0
0_1,un,3,1.0,0.5
0_1,un,3,1.0,0.2
0_1,un,3,1.0,0.1
0_1,un,3,0.9954545454545455,0.05
0_1,un,3,0.9954545454545455,0.03
0_1,un,4,1.0,4.0
0_1,un,4,1.0,0.5
0_1,un,4,1.0,0.2
0_1,un,4,1.0,0.1
0_1,un,4,0.9954545454545455,0.05
0_1,un,4,1.0,0.03
0_1,un,5,1.0,4.0
0_1,un,5,1.0,0.5
0_1,un,5,1.0,0.2
0_1,un,5,1.0,0.1
0_1,un,5,1.0,0.05
0_1,un,5,0.9954545454545455,0.03
0_1,un,6,1.0,4.0
0_1,un,6,1.0,0.5
0_1,un,6,1.0,0.2
0_1,un,6,1.0,0.1
0_1,un,6,1.0,0.05
0_1,un,6,1.0,0.03
0_1,un,7,0.9954545454545455,4.0
0_1,un,7,0.9954545454545455,0.5
0_1,un,7,0.9954545454545455,0.2
0_1,un,7,0.9954545454545455,0.1
0_1,un,7,1.0,0.05
0_1,un,7,1.0,0.03
0_1,un,8,0.9954545454545455,4.0
0_1,un,8,0.9954545454545455,0.5
0_1,un,8,0.9954545454545455,0.2
0_1,un,8,0.9954545454545455,0.1
0_1,un,8,1.0,0.05
0_1,un,8,1.0,0.03
0_1,un,9,0.990909090909091,4.0
0_1,un,9,0.990909090909091,0.5
0_1,un,9,0.9954545454545455,0.2
0_1,un,9,0.9954545454545455,0.1
0_1,un,9,1.0,0.05
0_1,un,9,1.0,0.03
0_1,un,10,1.0,4.0
0_1,un,10,1.0,0.5
