,Chrm,Prop,Coverage,True_ROH,Model_pred,acr,Wins
0,1.0,0.06553908333948587,4,1.0,0.9999999995985652,0_0_0,1
1,1.0,0.06767032020920215,4,1.0,0.9999999998543848,0_0_0,2
2,1.0,0.06543150836517606,4,1.0,0.9999999998358754,0_0_0,3
3,1.0,0.06011548489264606,4,1.0,0.9999999994059822,0_0_0,4
4,1.0,0.061923812965583594,4,1.0,0.9999999996755328,0_0_0,5
5,1.0,0.0647396569142884,4,1.0,0.9999999998212435,0_0_0,6
6,1.0,0.07299130704290621,4,1.0,0.9999999997329142,0_0_0,7
7,1.0,0.06926158318856272,4,1.0,0.9999999998462586,0_0_0,8
8,1.0,0.06087273657808528,4,1.0,0.9999999995488374,0_0_0,9
9,1.0,0.07300747420822991,4,1.0,0.9999999997319066,0_0_0,10
10,2.0,0.06067877500597457,4,1.0,0.9999999988061626,0_0_0,11
11,2.0,0.06459248747919463,4,1.0,0.9999999998174296,0_0_0,12
12,2.0,0.06065135298733044,4,1.0,0.9999999995127186,0_0_0,13
13,2.0,0.07013377854087059,4,1.0,0.9999999998339572,0_0_0,14
14,2.0,0.06628572653329545,4,1.0,0.999999999847526,0_0_0,15
15,2.0,0.06461341368448834,4,1.0,0.999999999817975,0_0_0,16
16,2.0,0.06559360359183743,4,1.0,0.999999999838572,0_0_0,17
17,2.0,0.06433210135862033,4,1.0,0.99999999980996,0_0_0,18
18,2.0,0.06406255473248101,4,1.0,0.9999999998011756,0_0_0,19
19,2.0,0.06170245734818214,4,1.0,0.999999999653944,0_0_0,20
20,3.0,0.0746958516593988,4,1.0,0.999999998975206,0_0_0,21
21,3.0,0.06759505564338296,4,1.0,0.999999999854334,0_0_0,22
22,3.0,0.06677422140522396,4,1.0,0.9999999998514976,0_0_0,23
23,3.0,0.07089610800677762,4,1.0,0.9999999998176252,0_0_0,24
24,3.0,0.06894937444730999,4,1.0,0.9999999998492112,0_0_0,25
25,3.0,0.061793183485290115,4,1.0,0.9999999996630669,0_0_0,26
26,3.0,0.06505759592896461,4,1.0,0.9999999998286366,0_0_0,27
