,True_positive,False_positive,Relatedness,Coverage,contamination
0,1.0,0.008264462809917326,un_all,4.0,0.5
1,0.7166666666666668,0.0,deg3,4.0,0.5
2,0.9666666666666667,0.008547008547008518,sec,4.0,0.5
3,0.9968750000000001,0.0,fir,4.0,0.5
4,0.9958333333333333,0.0,pc,4.0,0.5
5,1.0,0.0,sib,4.0,0.5
6,1.0,0.004149377593360981,un_all,4.0,1.5
7,0.7833333333333334,0.0,deg3,4.0,1.5
8,1.0,0.014373716632443374,sec,4.0,1.5
9,0.9968750000000001,0.0,fir,4.0,1.5
10,0.9958333333333333,0.0,pc,4.0,1.5
11,1.0,0.0,sib,4.0,1.5
12,1.0,0.004149377593360981,un_all,4.0,2.5
13,0.7833333333333334,0.0,deg3,4.0,2.5
14,1.0,0.014373716632443374,sec,4.0,2.5
15,0.9968750000000001,0.0,fir,4.0,2.5
16,0.9958333333333333,0.0,pc,4.0,2.5
17,1.0,0.0,sib,4.0,2.5
18,1.0,0.004149377593360981,un_all,4.0,3.5
19,0.7833333333333334,0.0,deg3,4.0,3.5
20,1.0,0.014373716632443377,sec,4.0,3.5
21,0.9968750000000001,0.0,fir,4.0,3.5
22,0.9958333333333333,0.0,pc,4.0,3.5
23,1.0,0.0,sib,4.0,3.5
24,1.0,0.004149377593361092,un_all,4.0,4.5
25,0.7833333333333334,0.0,deg3,4.0,4.5
26,1.0,0.014373716632443377,sec,4.0,4.5
27,0.9968750000000001,0.0,fir,4.0,4.5
28,0.9958333333333333,0.0,pc,4.0,4.5
29,1.0,0.0,sib,4.0,4.5
30,1.0,0.004149377593361092,un_all,4.0,5.5
31,0.7666666666666667,0.0,deg3,4.0,5.5
32,1.0,0.008264462809917326,sec,4.0,5.5
33,1.0,0.0,fir,4.0,5.5
34,1.0,0.0,pc,4.0,5.5
35,1.0,0.0,sib,4.0,5.5
36,1.0,0.012345679012345638,un_all,0.5,0.5
37,0.7166666666666668,0.0,deg3,0.5,0.5
38,0.9666666666666667,0.014861995753715338,sec,0.5,0.5
39,0.9968750000000001,0.0,fir,0.5,0.5
40,0.9958333333333333,0.0,pc,0.5,0.5
41,1.0,0.0,sib,0.5,0.5
42,1.0,0.004149377593360981,un_all,0.5,1.5
43,0.75,0.0,deg3,0.5,1.5
44,0.9833333333333334,0.014613778705636583,sec,0.5,1.5
45,0.9968750000000001,0.0,fir,0.5,1.5
46,0.9958333333333333,0.0,pc,0.5,1.5
47,1.0,0.0,sib,0.5,1.5
48,1.0,0.004149377593361092,un_all,0.5,2.5
49,0.75,0.0,deg3,0.5,2.5
50,0.9916666666666667,0.014492753623188246,sec,0.5,2.5
51,0.9968750000000001,0.0,fir,0.5,2.5
52,0.9958333333333333,0.0,pc,0.5,2.5
53,1.0,0.0,sib,0.5,2.5
54,1.0,0.004149377593360981,un_all,0.5,3.5
55,0.7666666666666667,0.0,deg3,0.5,3.5
56,0.9916666666666667,0.014492753623188246,sec,0.5,3.5
57,0.9968750000000001,0.0,fir,0.5,3.5
58,0.9958333333333333,0.0,pc,0.5,3.5
59,1.0,0.0,sib,0.5,3.5
60,1.0,0.004149377593360981,un_all,0.5,4.5
61,0.75,0.0,deg3,0.5,4.5
62,1.0,0.014373716632443377,sec,0.5,4.5
63,0.9968750000000001,0.0,fir,0.5,4.5
64,0.9958333333333333,0.0,pc,0.5,4.5
65,1.0,0.0,sib,0.5,4.5
66,1.0,0.004149377593360981,un_all,0.5,5.5
67,0.7833333333333334,0.0,deg3,0.5,5.5
68,1.0,0.008264462809917326,sec,0.5,5.5
69,0.9968750000000001,0.0,fir,0.5,5.5
70,0.9958333333333333,0.0,pc,0.5,5.5
71,1.0,0.0,sib,0.5,5.5
72,1.0,0.014373716632443589,un_all,0.2,0.5
73,0.6166666666666668,0.051282051282051266,deg3,0.2,0.5
74,0.9000000000000001,0.0,sec,0.2,0.5
75,1.0,0.0,fir,0.2,0.5
76,1.0,0.0,pc,0.2,0.5
77,1.0,0.0,sib,0.2,0.5
78,1.0,0.008264462809917326,un_all,0.2,1.5
79,0.7333333333333334,0.0,deg3,0.2,1.5
80,0.9583333333333334,0.008620689655172382,sec,0.2,1.5
81,0.9968750000000001,0.0,fir,0.2,1.5
82,0.9958333333333333,0.0,pc,0.2,1.5
83,1.0,0.0,sib,0.2,1.5
84,1.0,0.004149377593360981,un_all,0.2,2.5
85,0.8,0.0,deg3,0.2,2.5
86,0.9833333333333334,0.014613778705636581,sec,0.2,2.5
87,0.9968750000000001,0.0,fir,0.2,2.5
88,0.9958333333333333,0.0,pc,0.2,2.5
89,1.0,0.0,sib,0.2,2.5
90,1.0,0.002079002079001961,un_all,0.2,3.5
91,0.8000000000000002,0.0,deg3,0.2,3.5
92,1.0,0.014373716632443268,sec,0.2,3.5
93,0.9968750000000001,0.0,fir,0.2,3.5
94,0.9958333333333333,0.0,pc,0.2,3.5
95,1.0,0.0,sib,0.2,3.5
96,1.0,0.002079002079001961,un_all,0.2,4.5
97,0.7500000000000002,0.0,deg3,0.2,4.5
98,1.0,0.014373716632443374,sec,0.2,4.5
99,0.9968750000000001,0.0,fir,0.2,4.5
100,0.9958333333333333,0.0,pc,0.2,4.5
101,1.0,0.0,sib,0.2,4.5
102,1.0,0.002079002079001961,un_all,0.2,5.5
103,0.7833333333333335,0.0,deg3,0.2,5.5
104,1.0,0.008264462809917326,sec,0.2,5.5
105,1.0,0.0,fir,0.2,5.5
106,1.0,0.0,pc,0.2,5.5
107,1.0,0.0,sib,0.2,5.5
108,1.0,0.026369168356997985,un_all,0.1,0.5
109,0.36666666666666664,0.24137931034482749,deg3,0.1,0.5
110,0.8666666666666667,0.00952380952380949,sec,0.1,0.5
111,1.0,0.0,fir,0.1,0.5
112,1.0,0.0,pc,0.1,0.5
113,1.0,0.0,sib,0.1,0.5
114,1.0,0.012345679012345638,un_all,0.1,1.5
115,0.5833333333333334,0.02777777777777768,deg3,0.1,1.5
116,0.9166666666666667,0.009009009009008978,sec,0.1,1.5
117,1.0,0.0,fir,0.1,1.5
118,1.0,0.0,pc,0.1,1.5
119,1.0,0.0,sib,0.1,1.5
120,1.0,0.004149377593360981,un_all,0.1,2.5
121,0.6666666666666667,0.0,deg3,0.1,2.5
122,0.9750000000000001,0.008474576271186411,sec,0.1,2.5
123,1.0,0.0,fir,0.1,2.5
124,1.0,0.0,pc,0.1,2.5
125,1.0,0.0,sib,0.1,2.5
126,1.0,0.004149377593360981,un_all,0.1,3.5
127,0.7000000000000001,0.0,deg3,0.1,3.5
128,1.0,0.008264462809917326,sec,0.1,3.5
129,1.0,0.0,fir,0.1,3.5
130,1.0,0.0,pc,0.1,3.5
131,1.0,0.0,sib,0.1,3.5
132,1.0,0.0,un_all,0.1,4.5
133,0.7666666666666667,0.0,deg3,0.1,4.5
134,1.0,0.01639344262295076,sec,0.1,4.5
135,1.0,0.0,fir,0.1,4.5
136,1.0,0.0,pc,0.1,4.5
137,1.0,0.0,sib,0.1,4.5
138,1.0,0.0,un_all,0.1,5.5
139,0.7333333333333334,0.0,deg3,0.1,5.5
140,1.0,0.02439024390243894,sec,0.1,5.5
141,1.0,0.0,fir,0.1,5.5
142,1.0,0.0,pc,0.1,5.5
143,1.0,0.0,sib,0.1,5.5
144,1.0,0.04191616766467062,un_all,0.05,0.5
145,0.26666666666666666,0.6,deg3,0.05,0.5
146,0.5666666666666667,0.010909090909090681,sec,0.05,0.5
147,0.9927083333333334,0.0,fir,0.05,0.5
148,0.9958333333333333,0.016460905349794074,pc,0.05,0.5
149,0.9500000000000001,0.0,sib,0.05,0.5
150,1.0,0.03420523138832997,un_all,0.05,1.5
151,0.4166666666666667,0.21874999999999994,deg3,0.05,1.5
152,0.7666666666666667,0.0,sec,0.05,1.5
153,1.0,0.0,fir,0.05,1.5
154,1.0,0.03225806451612892,pc,0.05,1.5
155,0.9500000000000001,0.0,sib,0.05,1.5
156,1.0,0.01840490797546006,un_all,0.05,2.5
157,0.55,0.05714285714285695,deg3,0.05,2.5
158,0.925,0.0,sec,0.05,2.5
159,1.0,0.0,fir,0.05,2.5
160,1.0,0.03225806451612892,pc,0.05,2.5
161,0.9666666666666668,0.0,sib,0.05,2.5
162,1.0,0.012345679012345746,un_all,0.05,3.5
163,0.5333333333333334,0.0,deg3,0.05,3.5
164,0.9750000000000001,0.01680672268907557,sec,0.05,3.5
165,1.0,0.0,fir,0.05,3.5
166,1.0,0.03225806451612892,pc,0.05,3.5
167,0.9666666666666668,0.0,sib,0.05,3.5
168,1.0,0.006211180124223581,un_all,0.05,4.5
169,0.5000000000000001,0.0,deg3,0.05,4.5
170,0.9916666666666667,0.024590163934426142,sec,0.05,4.5
171,1.0,0.0,fir,0.05,4.5
172,1.0,0.07692307692307686,pc,0.05,4.5
173,0.9000000000000001,0.0,sib,0.05,4.5
174,1.0,0.0,un_all,0.05,5.5
175,0.46666666666666673,0.0,deg3,0.05,5.5
176,1.0,0.11111111111111104,sec,0.05,5.5
177,1.0,0.0,fir,0.05,5.5
178,1.0,0.01639344262295076,pc,0.05,5.5
179,0.9666666666666668,0.0,sib,0.05,5.5
