,Relatedness KIn,Log liklihood ratio (KIn),Relatedness READ,Z_upper (READ),Z_lower (READ),Relatedness lcMLkin,pair,nSNPs
0,Third Degree,3.679995748636657,Unrelated,,-3.31070059871,3rd-5th degree,AITI119_AITI2,454424
1,Third Degree,1.2357443683853262,Unrelated,,-1.66212680241,3rd-5th degree,AITI119_AITI55,25914
2,Third Degree,0.1409565427366033,Unrelated,,-7.14863431325,Unrelated,AITI119_AITI70,258593
3,Third Degree,0.9416367900191744,Unrelated,,-6.37629617766,3rd-5th degree,AITI119_AITI72,429404
4,Third Degree,0.07979674038907092,Unrelated,,-1.41245546826,too low coverage,AITI119_FMW,633
5,Third Degree,2.8651208148307887,Unrelated,,-4.02495500907,3rd-5th degree,AITI120_AITI2,450125
6,Third Degree,0.1182607447033206,Unrelated,,-7.01161979997,Unrelated,AITI120_AITI43,479887
7,Third Degree,1.4260344972227583,Unrelated,,-1.15880500391,3rd-5th degree,AITI120_AITI55,27306
8,First Degree,0.26208838637387544,Second Degree,7.22082298921,-0.095627123656,Sibling,AITI120_AITI86,26844
9,Second Degree,2.977918152208076,Unrelated,,-0.889121207462,Second Degree,AITI2_AITI55,33929
10,Third Degree,0.4444228767556524,Unrelated,,-5.11707869735,3rd-5th degree,AITI2_AITI70,340614
11,Third Degree,3.577850057509295,Unrelated,,-2.05410964303,3rd-5th degree,AITI2_AITI72,587530
12,Third Degree,1.237167088787828,Unrelated,,-2.28637415035,3rd-5th degree,AITI2_AITI86,33342
13,Third Degree,0.007361453752210424,Unrelated,,-0.215471351845,too low coverage,AITI3_AITI53,168
14,Third Degree,0.050019217418480366,Unrelated,,-0.563408358459,too low coverage,AITI3_AITI55,677
15,Third Degree,0.04131277050285576,Unrelated,,-0.7822173546,too low coverage,AITI3_AITI62B,480
16,Second Degree,0.10190531120588277,Unrelated,,-0.219532518669,too low coverage,AITI3_ALT2,174
17,Second Degree,0.3739156095626868,Unrelated,,-0.388814903362,too low coverage,AITI3_HUGO167,348
18,Third Degree,0.10455549806587784,Unrelated,,-0.437132783627,too low coverage,AITI3_OBKR84,326
19,Third Degree,0.008024209862028897,Unrelated,,-0.32534888466,too low coverage,AITI3_OTTM97,154
20,Second Degree,0.06561130016643801,Unrelated,,-0.721109663171,too low coverage,AITI3_POST131,750
21,First Degree,0.4330772319012084,Second Degree,0.811839560158,-0.105132864192,too low coverage,AITI3_UNTA5867,225
22,Third Degree,0.22409590053291595,Unrelated,,-0.769151922587,too low coverage,AITI3_UNTA851336,1983
23,Third Degree,0.08387030141670948,Unrelated,,-2.80395079685,too low coverage,AITI3_UNTA851412,4909
24,Third Degree,0.09526945045993784,Unrelated,,-0.533573532766,too low coverage,AITI3_UNTA89FK231,587
25,Third Degree,0.14151295831157995,Unrelated,,-1.57739841067,too low coverage,AITI32_AITI36,1487
26,Third Degree,0.13671273108570858,Unrelated,,-0.613048913422,too low coverage,AITI32_ALT2,555
27,Third Degree,0.057862097517698885,Unrelated,,-1.1916793779,too low coverage,AITI32_OBKR82,844
28,Third Degree,0.0136732198902223,Unrelated,,-1.27631720703,too low coverage,AITI32_POST85,1061
29,Third Degree,0.0939814381590338,Unrelated,,-0.833192479174,too low coverage,AITI33_AITI53,795
30,Second Degree,0.0038604296403264016,Unrelated,,-0.382798870394,too low coverage,AITI33_ALT2,777
31,Third Degree,0.052447936808107436,Unrelated,,-1.61136292609,too low coverage,AITI33_OBKR6,2771
32,Third Degree,0.017551223162683982,Unrelated,,-1.17764253255,too low coverage,AITI33_OBKR82,1201
33,Third Degree,0.01978338925692924,Unrelated,,-0.535856637436,too low coverage,AITI33_OTTM100,749
34,First Degree,1.5396760735435464,Second Degree,3.0974898043,-0.783835392785,too low coverage,AITI33_OTTM91,5898
35,Third Degree,0.08523553396253193,Unrelated,,-1.17459950284,too low coverage,AITI33_OTTM94,877
36,Third Degree,0.6182027136907777,Unrelated,,-0.825531135062,too low coverage,AITI33_UNTA89FK231,2443
37,Second Degree,0.30020831078866195,Unrelated,,-0.585793461847,too low coverage,AITI35_AITI37,872
