True_positive,False_positive,Relatedness,Coverage,Method,Ascertainment,Contamination,ROH
0.9769503546099291,0.0037967817754474167,Unrelated,4.0,KIN,0,0,0
0.7092592592592593,0.08153477218225429,3rd Degree,4.0,KIN,0,0,0
0.9935275080906149,0.0014636526264433798,Unrelated w/o 3rd Degree,4.0,KIN,0,0,0
0.9402777777777777,0.01741654571843245,2nd Degree,4.0,KIN,0,0,0
0.9982456140350876,0.0008779631255486772,1st Degree,4.0,KIN,0,0,0
1.0,0.0,Identical,4.0,KIN,0,0,0
0.9981481481481481,0.0,Parent-Child,4.0,KIN,0,0,0
1.0,0.008264462809917326,Siblings,4.0,KIN,0,0,0
0.997252427184466,0.004680232558139575,Unrelated w/o 3rd Degree,4.0,READ,0,0,0
0.9125,0.01200036091311009,2nd Degree,4.0,READ,0,0,0
1.0,0.0,1st Degree,4.0,READ,0,0,0
1.0,0.0,Identical,4.0,READ,0,0,0
0.9810283687943263,0.0068210375157064075,Unrelated,0.2,KIN,0,0,0
0.6907407407407408,0.07444168734491315,3rd Degree,0.2,KIN,0,0,0
0.9944983818770226,0.0017865843755075891,Unrelated w/o 3rd Degree,0.2,KIN,0,0,0
0.9361111111111111,0.013177159590043952,2nd Degree,0.2,KIN,0,0,0
1.0,0.0,1st Degree,0.2,KIN,0,0,0
1.0,0.0,Identical,0.2,KIN,0,0,0
1.0,0.0,Parent-Child,0.2,KIN,0,0,0
1.0,0.0,Siblings,0.2,KIN,0,0,0
0.9969320090486316,0.004199154350440348,Unrelated w/o 3rd Degree,0.2,READ,0,0,0
0.8944912076006334,0.012240014724829664,2nd Degree,0.2,READ,0,0,0
1.0,0.0,1st Degree,0.2,READ,0,0,0
1.0,0.0,Identical,0.2,READ,0,0,0
0.9843971631205674,0.008040021440057173,Unrelated,0.1,KIN,0,0,0
0.674074074074074,0.06905370843989772,3rd Degree,0.1,KIN,0,0,0
0.9953074433656958,0.0027561608300907723,Unrelated w/o 3rd Degree,0.1,KIN,0,0,0
0.9236111111111112,0.00894187779433678,2nd Degree,0.1,KIN,0,0,0
1.0,0.0,1st Degree,0.1,KIN,0,0,0
1.0,0.0,Identical,0.1,KIN,0,0,0
1.0,0.0,Parent-Child,0.1,KIN,0,0,0
1.0,0.0,Siblings,0.1,KIN,0,0,0
0.9959514563106796,0.004531780688985917,Unrelated w/o 3rd Degree,0.1,READ,0,0,0
0.8694166666666666,0.004769627015167481,2nd Degree,0.1,READ,0,0,0
1.0,0.0,1st Degree,0.1,READ,0,0,0
1.0,0.0,Identical,0.1,READ,0,0,0
0.9852836879432624,0.012440021325750892,Unrelated,0.05,KIN,0,0,0
0.5333333333333333,0.14285714285714282,3rd Degree,0.05,KIN,0,0,0
0.9954692556634304,0.005496281926931745,Unrelated w/o 3rd Degree,0.05,KIN,0,0,0
0.8611111111111112,0.01273885350318467,2nd Degree,0.05,KIN,0,0,0
1.0,0.0,1st Degree,0.05,KIN,0,0,0
1.0,0.0,Identical,0.05,KIN,0,0,0
1.0,0.0,Parent-Child,0.05,KIN,0,0,0
1.0,0.0,Siblings,0.05,KIN,0,0,0
0.9954660194174757,0.006617191133157716,Unrelated w/o 3rd Degree,0.05,READ,0,0,0
0.7486457204767064,0.00740331491712709,2nd Degree,0.05,READ,0,0,0
0.9982631578947367,0.0,1st Degree,0.05,READ,0,0,0
1.0,0.0,Identical,0.05,READ,0,0,0
0.97677304964539,0.00361729064930362,Unrelated,4.0,KIN,0,1,0
0.7018518518518518,0.08009708737864088,3rd Degree,4.0,KIN,0,1,0
0.9935275080906149,0.0014636526264433796,Unrelated w/o 3rd Degree,4.0,KIN,0,1,0
0.9416666666666665,0.017391304347826025,2nd Degree,4.0,KIN,0,1,0
0.9982456140350876,0.0,1st Degree,4.0,KIN,0,1,0
1.0,0.0,Identical,4.0,KIN,0,1,0
0.9981481481481481,0.0,Parent-Child,4.0,KIN,0,1,0
1.0,0.0,Siblings,4.0,KIN,0,1,0
0.9977378640776698,0.03971331657587113,Unrelated w/o 3rd Degree,4.0,READ,0,1,0
0.5375,0.15862248891207933,2nd Degree,4.0,READ,0,1,0
0.8947368421052632,0.0,1st Degree,4.0,READ,0,1,0
1.0,0.0,Identical,4.0,READ,0,1,0
0.9812056737588652,0.005927788755164331,Unrelated,0.2,KIN,0,1,0
0.6888888888888889,0.08374384236453199,3rd Degree,0.2,KIN,0,1,0
0.993851132686084,0.0022742040285900025,Unrelated w/o 3rd Degree,0.2,KIN,0,1,0
0.9361111111111112,0.01749271137026233,2nd Degree,0.2,KIN,0,1,0
1.0,0.0,1st Degree,0.2,KIN,0,1,0
1.0,0.0,Identical,0.2,KIN,0,1,0
1.0,0.0,Parent-Child,0.2,KIN,0,1,0
1.0,0.0,Siblings,0.2,KIN,0,1,0
0.9974077669902913,0.036872105450659,Unrelated w/o 3rd Degree,0.2,READ,0,1,0
0.5277939828319026,0.17215686274509806,2nd Degree,0.2,READ,0,1,0
0.8894736842105264,0.0,1st Degree,0.2,READ,0,1,0
1.0,0.0,Identical,0.2,READ,0,1,0
0.9842198581560283,0.009103891467333034,Unrelated,0.1,KIN,0,1,0
0.6351851851851852,0.05769230769230777,3rd Degree,0.1,KIN,0,1,0
0.9944983818770227,0.0019486846378694658,Unrelated w/o 3rd Degree,0.1,KIN,0,1,0
0.9263888888888889,0.005961251862891187,2nd Degree,0.1,KIN,0,1,0
1.0,0.0,1st Degree,0.1,KIN,0,1,0
1.0,0.0,Identical,0.1,KIN,0,1,0
1.0,0.0,Parent-Child,0.1,KIN,0,1,0
1.0,0.0,Siblings,0.1,KIN,0,1,0
0.9957961165048544,0.03375412152614224,Unrelated w/o 3rd Degree,0.1,READ,0,1,0
0.5027918993249438,0.15810773095171643,2nd Degree,0.1,READ,0,1,0
0.8587894736842105,0.0,1st Degree,0.1,READ,0,1,0
1.0,0.0,Identical,0.1,READ,0,1,0
0.9842198581560283,0.011925952296190746,Unrelated,0.05,KIN,0,1,0
0.5203703703703704,0.14329268292682926,3rd Degree,0.05,KIN,0,1,0
0.9946601941747573,0.00598318240620951,Unrelated w/o 3rd Degree,0.05,KIN,0,1,0
0.8583333333333333,0.012779552715655075,2nd Degree,0.05,KIN,0,1,0
0.9982456140350878,0.0,1st Degree,0.05,KIN,0,1,0
1.0,0.0,Identical,0.05,KIN,0,1,0
1.0,0.0,Parent-Child,0.05,KIN,0,1,0
0.9666666666666666,0.0,Siblings,0.05,KIN,0,1,0
0.9907766990291264,0.029324760065821374,Unrelated w/o 3rd Degree,0.05,READ,0,1,0
0.46249999999999997,0.15267175572519084,2nd Degree,0.05,READ,0,1,0
0.7798421052631579,0.0,1st Degree,0.05,READ,0,1,0
1.0,0.0,Identical,0.05,READ,0,1,0
0.9710992907801418,0.003275705186533181,Unrelated,4.0,KIN,0,0,1
0.6703703703703704,0.11707317073170741,3rd Degree,4.0,KIN,0,0,1
0.9868932038834951,0.0013099721630915992,Unrelated w/o 3rd Degree,4.0,KIN,0,0,1
0.9430555555555555,0.05299860529986048,2nd Degree,4.0,KIN,0,0,1
1.0,0.001751313485113736,1st Degree,4.0,KIN,0,0,1
0.9916666666666666,0.0,Identical,4.0,KIN,0,0,1
1.0,0.0,Parent-Child,4.0,KIN,0,0,1
1.0,0.01639344262295076,Siblings,4.0,KIN,0,0,1
0.985757281553398,0.0013082052997068399,Unrelated w/o 3rd Degree,4.0,READ,0,0,1
0.9402499999999999,0.054470795273611025,2nd Degree,4.0,READ,0,0,1
1.0,0.008712891949705304,1st Degree,4.0,READ,0,0,1
1.0,0.0,Identical,4.0,READ,0,0,1
0.9746453900709221,0.004707586456635927,Unrelated,0.2,KIN,0,0,1
0.6648148148148149,0.10025062656641608,3rd Degree,0.2,KIN,0,0,1
0.9881877022653721,0.0014715500327011676,Unrelated w/o 3rd Degree,0.2,KIN,0,0,1
0.9430555555555554,0.04366197183098596,2nd Degree,0.2,KIN,0,0,1
1.0,0.0008764241893075751,1st Degree,0.2,KIN,0,0,1
1.0,0.0,Identical,0.2,KIN,0,0,1
1.0,0.0,Parent-Child,0.2,KIN,0,0,1
1.0,0.008264462809917326,Siblings,0.2,KIN,0,0,1
0.9860873786407768,0.001307767944936043,Unrelated w/o 3rd Degree,0.2,READ,0,0,1
0.9375781315109594,0.050632911392405035,2nd Degree,0.2,READ,0,0,1
1.0,0.009539696606370215,1st Degree,0.2,READ,0,0,1
1.0,0.0,Identical,0.2,READ,0,0,1
0.9783687943262411,0.006302899333693447,Unrelated,0.1,KIN,0,0,1
0.6537037037037037,0.0878552971576227,3rd Degree,0.1,KIN,0,0,1
0.9898058252427184,0.0021207177814029548,Unrelated w/o 3rd Degree,0.1,KIN,0,0,1
0.9402777777777778,0.027298850574712628,2nd Degree,0.1,KIN,0,0,1
1.0,0.0,1st Degree,0.1,KIN,0,0,1
1.0,0.0,Identical,0.1,KIN,0,0,1
0.9981481481481481,0.0,Parent-Child,0.1,KIN,0,0,1
1.0,0.0018484288354897534,Siblings,0.1,KIN,0,0,1
0.9852718446601942,0.001475898576249896,Unrelated w/o 3rd Degree,0.1,READ,0,0,1
0.9139166666666667,0.047755491881566435,2nd Degree,0.1,READ,0,0,1
1.0,0.006951340615690123,1st Degree,0.1,READ,0,0,1
1.0,0.0,Identical,0.1,READ,0,0,1
0.9799645390070922,0.008965393580778146,Unrelated,0.05,KIN,0,0,1
0.562962962962963,0.11111111111111102,3rd Degree,0.05,KIN,0,0,1
0.9904530744336569,0.0026071370376405316,Unrelated w/o 3rd Degree,0.05,KIN,0,0,1
0.8972222222222221,0.022692889561270798,2nd Degree,0.05,KIN,0,0,1
