Pair,Relatedness,Second Guess,Log Likelihood Ratio,Within Degree Second Guess,Within Degree Log Likelihood Ratio,k0,k1,k2,IBD Length,IBD Number
Chagyrskaya01_._Chagyrskaya02,Unrelated,Third Degree,1.13,,,0.875,0.125,0.0,0,1
Chagyrskaya01_._Chagyrskaya06,Unrelated,Third Degree,5.56,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Chagyrskaya07,Unrelated,Third Degree,2.82,,,0.936,0.064,0.0,0,1
Chagyrskaya01_._Chagyrskaya1141,Unrelated,Third Degree,0.7,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Chagyrskaya12,Unrelated,Third Degree,4.4,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Chagyrskaya13,Unrelated,Third Degree,1.64,,,0.937,0.063,0.0,0,1
Chagyrskaya01_._Chagyrskaya14,Unrelated,Third Degree,0.36,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Chagyrskaya17,Unrelated,Third Degree,0.86,,,0.936,0.064,0.0,0,1
Chagyrskaya01_._Chagyrskaya18,Unrelated,Third Degree,0.11,,,0.867,0.133,0.0,0,1
Chagyrskaya01_._Chagyrskaya19,Unrelated,Third Degree,1.82,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Chagyrskaya20,Unrelated,Third Degree,0.89,,,0.876,0.124,0.0,0,1
Chagyrskaya01_._Chagyrskaya41,Unrelated,Third Degree,5.15,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Chagyrskaya60,Second Degree,Third Degree,4.05,,,0.479,0.521,0.0,149,8
Chagyrskaya01_._Okladnikov11,Unrelated,Third Degree,2.29,,,1.0,0.0,0.0,0,1
Chagyrskaya01_._Okladnikov15,Unrelated,Third Degree,2.2,,,1.0,0.0,0.0,0,1
Chagyrskaya02_._Chagyrskaya06,Unrelated,Third Degree,5.75,,,1.0,0.0,0.0,0,1
Chagyrskaya02_._Chagyrskaya07,Unrelated,Third Degree,2.82,,,0.915,0.085,0.0,6,3
Chagyrskaya02_._Chagyrskaya1141,Unrelated,Third Degree,1.24,,,1.0,0.0,0.0,0,1
Chagyrskaya02_._Chagyrskaya12,Unrelated,Third Degree,2.37,,,0.928,0.072,0.0,0,1
Chagyrskaya02_._Chagyrskaya13,Unrelated,Third Degree,1.77,,,0.877,0.123,0.0,10,1
Chagyrskaya02_._Chagyrskaya14,Unrelated,Third Degree,1.9,,,1.0,0.0,0.0,0,1
Chagyrskaya02_._Chagyrskaya17,Unrelated,Third Degree,1.82,,,0.928,0.072,0.0,0,1
Chagyrskaya02_._Chagyrskaya18,Unrelated,Third Degree,1.52,,,0.879,0.121,0.0,0,1
Chagyrskaya02_._Chagyrskaya19,Unrelated,Third Degree,0.35,,,0.856,0.144,0.0,0,1
Chagyrskaya02_._Chagyrskaya20,Unrelated,Third Degree,0.06,,,0.837,0.163,0.0,16,2
Chagyrskaya02_._Chagyrskaya41,Unrelated,Third Degree,3.17,,,0.936,0.064,0.0,0,1
Chagyrskaya02_._Chagyrskaya60,Unrelated,Third Degree,1.42,,,0.854,0.146,0.0,19,4
Chagyrskaya02_._Okladnikov11,Unrelated,Third Degree,2.94,,,1.0,0.0,0.0,0,1
Chagyrskaya02_._Okladnikov15,Unrelated,Third Degree,2.26,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya07,Unrelated,Third Degree,3.32,,,0.939,0.061,0.0,0,1
Chagyrskaya06_._Chagyrskaya1141,Second Degree,Third Degree,0.12,,,0.501,0.499,0.0,0,1
Chagyrskaya06_._Chagyrskaya12,Unrelated,Third Degree,8.26,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya13,Unrelated,Third Degree,5.34,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya14,Parent-Child,Second Degree,1.12,Siblings,0.35,0.0,1.0,0.0,264,1
Chagyrskaya06_._Chagyrskaya17,Unrelated,Third Degree,2.22,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya18,Unrelated,Third Degree,3.42,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya19,Unrelated,Third Degree,4.79,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya20,Unrelated,Third Degree,5.13,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya41,Unrelated,Third Degree,6.75,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Chagyrskaya60,Unrelated,Third Degree,7.36,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Okladnikov11,Unrelated,Third Degree,1.21,,,1.0,0.0,0.0,0,1
Chagyrskaya06_._Okladnikov15,Unrelated,Third Degree,6.01,,,1.0,0.0,0.0,0,1
Chagyrskaya07_._Chagyrskaya1141,Unrelated,Third Degree,0.35,,,0.937,0.063,0.0,0,1
Chagyrskaya07_._Chagyrskaya12,Unrelated,Third Degree,7.33,,,0.946,0.054,0.0,5,2
Chagyrskaya07_._Chagyrskaya13,Unrelated,Third Degree,4.32,,,0.938,0.062,0.0,3,1
Chagyrskaya07_._Chagyrskaya14,Unrelated,Third Degree,0.06,,,0.873,0.127,0.0,0,1
Chagyrskaya07_._Chagyrskaya17,Parent-Child,Second Degree,7.33,Siblings,5.85,0.0,1.0,0.0,286,1
Chagyrskaya07_._Chagyrskaya18,Unrelated,Third Degree,1.3,,,0.869,0.131,0.0,7,1
